atom_1,atom_2,f,c6,c12,type,s
P5,P5,1,0.24145E-00,0.26027E-02,supra attractive,0
SP5,SP5,1,0.10620E-00,0.67132E-03,supra attractive,0.43
P4,P4,1,0.21558E-00,0.23238E-02,attractive,0
SP4,SP4,1,0.94820E-01,0.59939E-03,attractive,0.43
P3,P3,1,0.21558E-00,0.23238E-02,attractive,0
SP3,SP3,1,0.94820E-01,0.59939E-03,attractive,0.43
P2,P2,1,0.19402E-00,0.20914E-02,almost attractive,0
SP2,SP2,1,0.85338E-01,0.53946E-03,almost attractive,0.43
P1,P1,1,0.19402E-00,0.20914E-02,almost attractive,0
SP1,SP1,1,0.85338E-01,0.53946E-03,almost attractive,0.43
Nda,Nda,1,0.19402E-00,0.20914E-02,almost attractive,0
SNda,SNda,1,0.85338E-01,0.53946E-03,almost attractive,0.43
Nd,Nd,1,0.17246E-00,0.18590E-02,semi attractive,0
SNd,SNd,1,0.75856E-01,0.47952E-03,semi attractive,0.43
Na,Na,1,0.17246E-00,0.18590E-02,semi attractive,0
SNa,SNa,1,0.75856E-01,0.47952E-03,semi attractive,0.43
N0,N0,1,0.15091E-00,0.16267E-02,intermediate,0 
SN0,SN0,1,0.66375E-01,0.41957E-03,intermediate,0.43
C5,C5,1,0.15091E-00,0.16267E-02,intermediate,0 
SC5,SC5,1,0.66375E-01,0.41957E-03,intermediate,0.43
C4,C4,1,0.15091E-00,0.16267E-02,intermediate,0 
SC4,SC4,1,0.66375E-01,0.41957E-03,intermediate,0.43
C3,C3,1,0.15091E-00,0.16267E-02,intermediate,0 
SC3,SC3,1,0.66375E-01,0.41957E-03,intermediate,0.43
C2,C2,1,0.15091E-00,0.16267E-02,intermediate,0 
SC2,SC2,1,0.66375E-01,0.41957E-03,intermediate,0.43
C1,C1,1,0.15091E-00,0.16267E-02,intermediate,0 
SC1,SC1,1,0.66375E-01,0.41957E-03,intermediate,0.43
Qda,Qda,1,0.24145E-00,0.26027E-02,supra attractive,0
SQda,SQda,1,0.10620E-00,0.67132E-03,supra attractive,0.43
Qd,Qd,1,0.15091E-00,0.16267E-02,intermediate,0 
SQd,SQd,1,0.66375E-01,0.41957E-03,intermediate,0.43
Qa,Qa,1,0.15091E-00,0.16267E-02,intermediate,0 
SQa,SQa,1,0.66375E-01,0.41957E-03,intermediate,0.43
Q0,Q0,1,0.15091E-00,0.16267E-02,intermediate,0 
SQ0,SQ0,1,0.66375E-01,0.41957E-03,intermediate,0.43
POL,POL,1,0.13366E-00,0.14408E-02,almost intermediate,0
